Type,Market,Accuracy,Balanced Accuracy,F1 Score
RANDOM,USDEUR,0.4674329501915709,0.4677921315325896,0.5122807017543859
RANDOM,USDJPY,0.45977011494252873,0.4734356552538371,0.5315614617940199
RANDOM,USDGBP,0.5172413793103449,0.5523499162879694,0.5935483870967743
RANDOM,USDCHF,0.524904214559387,0.543382081848347,0.5118110236220473
RANDOM,USDNZD,0.47509578544061304,0.4908235294117647,0.6118980169971671
RANDOM,USDCAD,0.4444444444444444,0.4408342284282134,0.39330543933054396
RANDOM,USDSEK,0.5287356321839081,0.5119412666588041,0.3351351351351351
RANDOM,USDDKK,0.4482758620689655,0.44968867481203006,0.48201438848920863
RANDOM,USDNOK,0.4827586206896552,0.4806878306878307,0.43983402489626555
RANDOM,EURJPY,0.421455938697318,0.4431034482758621,0.49498327759197325
RANDOM,EURGBP,0.47126436781609193,0.48142806687073225,0.551948051948052
RANDOM,EURCHF,0.4521072796934866,0.4822211686618466,0.5679758308157099
RANDOM,EURNZD,0.49808429118773945,0.4960643796992481,0.43290043290043295
RANDOM,EURCAD,0.4827586206896552,0.4912698412698413,0.5794392523364486
RANDOM,EURSEK,0.4521072796934866,0.4844435225791158,0.5756676557863502
RANDOM,EURDKK,0.5900383141762452,0.5,0.7421686746987951
RANDOM,EURNOK,0.5172413793103449,0.5131470588235294,0.5684931506849316
