Stock,SVM Gaussian Kernel,SVM Gaussian Kernel balance,Logistic Regression,Logistic Regression balance,LDA,LDA balance,QDA,QDA balance,Random Forest,Random Forest balance,XGBoost,XGBoost balance
USDEUR,0.5166666666666667,0.5,0.5166666666666667,0.5,0.5358974358974359,0.5299905878326345,0.49230769230769234,0.49439548215966456,0.5256410256410257,0.5228886797296142,0.5102564102564102,0.5007273038418756
USDJPY,0.4858974358974359,0.5056912871926277,0.4782051282051282,0.5,0.5012820512820513,0.5050918576387745,0.48205128205128206,0.4723307270224161,0.48333333333333334,0.49058039272516485,0.5102564102564102,0.5181706200472956
USDGBP,0.5243589743589744,0.5016998734977862,0.5230769230769231,0.5,0.517948717948718,0.5135989879822896,0.4846153846153846,0.4925284629981025,0.5128205128205128,0.4960072738772929,0.48846153846153845,0.474146110056926
USDCHF,0.5064102564102564,0.516175655341728,0.48717948717948717,0.49948523006256434,0.49743589743589745,0.5058208600617724,0.5423076923076923,0.5357369129642828,0.5128205128205128,0.5198384414350202,0.4897435897435897,0.4974657480003168
USDNZD,0.5358974358974359,0.5048076923076923,0.5333333333333333,0.5,0.5115384615384615,0.5034340659340659,0.5064102564102564,0.5104739010989011,0.46923076923076923,0.47544642857142855,0.5243589743589744,0.5242101648351649
USDCAD,0.491025641025641,0.4909063412324768,0.4948717948717949,0.5,0.48846153846153845,0.48960442913126956,0.49615384615384617,0.4970345335472502,0.5051282051282051,0.5052339496593987,0.5282051282051282,0.5287341206175534
USDSEK,0.49615384615384617,0.4961536185573111,0.49615384615384617,0.5,0.4948717948717949,0.4956506302148056,0.5128205128205128,0.5120026826044934,0.4846153846153846,0.48507801250567095,0.5076923076923077,0.5089058524173028
USDDKK,0.491025641025641,0.5119815485474107,0.46025641025641023,0.49493113748711304,0.4846153846153846,0.49637843982130114,0.5025641025641026,0.4874038436120437,0.5076923076923077,0.509767638584155,0.5346153846153846,0.5374778609003674
USDNOK,0.5269230769230769,0.5276837086963669,0.49615384615384617,0.496745027124774,0.5217948717948718,0.5211080059181324,0.514102564102564,0.5137103402926188,0.47435897435897434,0.47430544139404895,0.5282051282051282,0.5290810455367417
EURJPY,0.5153846153846153,0.5042643923240938,0.5153846153846153,0.5,0.46923076923076923,0.46083076680091606,0.4846153846153846,0.4894179894179894,0.47692307692307695,0.468767274737424,0.5102564102564102,0.5045802732369897
EURGBP,0.5397435897435897,0.4982642569429723,0.5435897435897435,0.5,0.5243589743589744,0.5079897180411279,0.5461538461538461,0.5059624761500954,0.5230769230769231,0.5043327326690693,0.5076923076923077,0.49941700233199066
EURCHF,0.48333333333333334,0.5,0.48333333333333334,0.5,0.4653846153846154,0.4756994951655686,0.5166666666666667,0.5202789424146488,0.4897435897435897,0.4942243518439292,0.5012820512820513,0.5104389492598613
EURNZD,0.5153846153846153,0.49955234885190647,0.5217948717948718,0.5193806614704024,0.5128205128205128,0.5099799873604381,0.4653846153846154,0.4805930061091216,0.5025641025641026,0.5030282283547504,0.48717948717948717,0.487162945017906
EURCAD,0.5230769230769231,0.5066036057993163,0.5217948717948718,0.5,0.5217948717948718,0.5192607913787538,0.5,0.4930011659234179,0.5064102564102564,0.506982366231696,0.5243589743589744,0.5220537378714323
EURSEK,0.5358974358974359,0.5290046143704681,0.5205128205128206,0.508569545154911,0.5371794871794872,0.5336519446275544,0.5269230769230769,0.5134805537244562,0.5051282051282051,0.5067237969676994,0.49615384615384617,0.49423203691496376
EURDKK,0.6307692307692307,0.5,0.6307692307692307,0.5,0.6333333333333333,0.5041920731707317,0.49743589743589745,0.46413448509485095,0.6269230769230769,0.50414972899729,0.6102564102564103,0.5038956639566395
EURNOK,0.5166666666666667,0.5141451860844093,0.5294871794871795,0.5,0.5371794871794872,0.5313912291929195,0.5025641025641026,0.49673090498842126,0.48717948717948717,0.4700635345811534,0.517948717948718,0.5149006076360254
